0,32,1555389601.12711,1555389601.15805,1555389601.13296,,,
1,32,1555389601.15862,1555389601.18993,1555389601.16575,,,
2,32,1555389601.1905,1555389601.22179,1555389601.19758,,,
3,32,1555389601.22235,1555389601.25366,1555389601.22936,,,
4,32,1555389601.25593,1555389601.28546,1555389601.2611,,,
5,32,1555389601.2876,1555389601.31728,1555389601.29294,,,
6,32,1555389601.31922,1555389601.34912,1555389601.32461,,,
7,32,1555389601.35072,1555389601.3811,1555389601.35619,,,
8,32,1555389601.38225,1555389601.41301,1555389601.38788,,,
9,32,1555389601.41375,1555389601.4464,1555389601.41978,,,
10,32,1555389601.44697,1555389601.4786,1555389601.45138,,,
11,32,1555389601.47888,1555389601.51036,1555389601.48307,,,
12,32,1555389601.51082,1555389601.54217,1555389601.51477,,,
13,32,1555389601.5427,1555389601.57406,1555389601.54648,,,
14,32,1555389601.57464,1555389601.60592,1555389601.5781,,,
15,32,1555389601.6065,1555389601.63781,1555389601.60991,,,
16,32,1555389601.63835,1555389601.6697,1555389601.64156,,,
17,32,1555389601.6709,1555389601.70167,1555389601.67324,,,
18,32,1555389601.70506,1555389601.73345,1555389601.70537,,,
19,32,1555389601.73966,1555389601.76534,1555389601.73715,,,
20,32,1555389601.77309,1555389601.79731,1555389601.80123,,,
21,32,1555389601.80505,1555389601.82938,1555389601.8328,,,
22,32,1555389601.84063,1555389601.86133,1555389601.8644,,,
23,32,1555389601.87911,1555389601.89358,1555389601.89625,,,
24,32,1555389601.91321,1555389602.14337,1555389601.928,,,
25,32,1555389602.00388,1555389602.17504,1555389602.02294,,,
26,32,1555389602.04019,1555389602.20767,1555389602.05494,,,
27,32,1555389602.07193,1555389602.23939,1555389602.08672,,,
28,32,1555389602.10359,1555389602.27104,1555389602.11847,,,
29,32,1555389602.13577,1555389602.30302,1555389602.15017,,,
30,32,1555389602.16795,1555389602.335,1555389602.18184,,,
31,32,1555389602.1996,1555389602.36664,1555389602.21354,,,
32,32,1555389602.2313,1555389602.39831,1555389602.24513,,,
33,32,1555389602.26297,1555389602.43004,1555389602.27775,,,
34,32,1555389602.29465,1555389602.47158,1555389602.30968,,,
35,32,1555389602.32749,1555389602.50425,1555389602.34136,,,
36,32,1555389602.35911,1555389602.53819,1555389602.37293,,,
37,32,1555389602.39075,1555389602.58082,1555389602.4045,,,
38,32,1555389602.42244,1555389602.61382,1555389602.43667,,,
39,32,1555389602.454,1555389602.64639,1555389602.46834,,,
40,32,1555389602.48559,1555389602.67837,1555389602.50002,,,
41,32,1555389602.51723,1555389602.71004,1555389602.53176,,,
42,32,1555389602.54883,1555389602.74172,1555389602.5637,,,
43,32,1555389602.58049,1555389602.77336,1555389602.59548,,,
44,32,1555389602.61213,1555389602.80538,1555389602.62713,,,
45,32,1555389602.64377,1555389602.83717,1555389602.65877,,,
46,32,1555389602.67549,1555389602.86905,1555389602.6905,,,
47,32,1555389602.70709,1555389602.90127,1555389602.72231,,,
48,32,1555389602.73877,1555389602.9333,1555389602.7539,,,
49,32,1555389602.7707,1555389602.96525,1555389602.78556,,,
0,32,1555389646.88636,1555389646.90302,1555389646.90241,1555389646.89621,,
1,32,1555389646.91782,1555389646.93472,1555389646.93404,1555389646.92768,,
2,32,1555389646.94926,1555389646.9663,1555389646.96553,1555389646.95893,,
